 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204211810;11.7;0.0;48.0;48.0;11.2
GRE;202204211820;11.7;0.0;48.1;48.1;11.2
GRE;202204211830;11.5;0.0;48.0;48.0;9.7
GRE;202204211840;10.9;0.0;50.2;50.2;7.6
GRE;202204211850;9.9;0.0;54.5;54.5;9.0
GRE;202204211900;10.9;0.0;51.4;51.4;9.4
GRE;202204211910;10.7;0.0;50.7;50.7;8.6
GRE;202204211920;10.4;0.0;52.5;52.5;9.7
GRE;202204211930;10.2;0.0;53.5;53.5;9.7
GRE;202204211940;9.4;0.0;57.5;57.5;7.6
GRE;202204211950;8.3;0.0;62.1;62.1;6.1
GRE;202204212000;8.8;0.0;61.4;61.4;9.0
GRE;202204212010;9.1;0.0;59.5;59.5;11.9
GRE;202204212020;7.0;0.0;68.3;68.3;8.6
GRE;202204212030;7.3;0.0;69.7;69.7;8.6
GRE;202204212040;8.1;0.0;66.8;66.8;9.0
GRE;202204212050;8.7;0.0;65.1;65.1;9.4
GRE;202204212100;8.9;0.0;64.5;64.5;8.6
GRE;202204212110;9.0;0.0;64.7;64.7;10.4
GRE;202204212120;9.8;0.0;64.5;64.5;11.9
GRE;202204212130;10.8;0.0;61.8;61.8;14.8
GRE;202204212140;11.1;0.0;59.6;59.6;14.8
GRE;202204212150;11.1;0.0;58.4;58.4;14.4
GRE;202204212200;10.9;0.0;58.9;58.9;14.8
GRE;202204212210;10.8;0.0;59.0;59.0;15.5
GRE;202204212220;10.9;0.0;57.9;57.9;18.0
GRE;202204212230;10.8;0.0;57.7;57.7;18.4
GRE;202204212240;10.7;0.0;57.6;57.6;18.4
GRE;202204212250;10.6;0.0;57.7;57.7;18.4
GRE;202204212300;10.4;0.0;58.1;58.1;17.3
GRE;202204212310;10.2;0.0;58.7;58.7;15.1
GRE;202204212320;10.0;0.0;59.3;59.3;15.8
GRE;202204212330;9.9;0.0;59.8;59.8;16.2
GRE;202204212340;9.7;0.0;60.3;60.3;16.6
GRE;202204212350;9.7;0.0;60.4;60.4;18.0
GRE;202204220000;9.8;0.0;59.7;59.7;16.6
